,observation_date,DGS3MO,DGS6MO,DGS1,DGS2,DGS3,DGS5,DGS7,DGS10,beta_0,beta_1,beta_2,lambda
1323,2019-05-03,2.43,2.46,2.41,2.33,2.3,2.33,2.43,2.54,3.0476152565627466,-0.5922448712876945,-1.2639242795595926,0.30303030303030304
1324,2019-05-06,2.44,2.46,2.39,2.31,2.27,2.3,2.4,2.51,3.028020811445524,-0.5728123862730173,-1.3276088913388164,0.30303030303030304
1325,2019-05-07,2.43,2.46,2.37,2.28,2.24,2.25,2.35,2.45,2.90758871944051,-0.4661627258767582,-1.2387657498572655,0.30303030303030304
1326,2019-05-08,2.43,2.45,2.37,2.3,2.26,2.28,2.38,2.49,2.9867840947017847,-0.5450048381999334,-1.2889748703992436,0.30303030303030304
1327,2019-05-09,2.43,2.46,2.36,2.26,2.22,2.25,2.34,2.45,2.935675506308663,-0.49984661834008587,-1.3052954623642,0.30303030303030304
1328,2019-05-10,2.43,2.45,2.36,2.26,2.23,2.26,2.37,2.47,2.997495275991544,-0.5642381472975919,-1.3613965747165766,0.30303030303030304
1329,2019-05-13,2.41,2.42,2.32,2.18,2.15,2.18,2.28,2.4,2.971002149824396,-0.5627943930290347,-1.5466590048109632,0.30303030303030304
1330,2019-05-14,2.41,2.43,2.32,2.2,2.17,2.2,2.3,2.42,2.9682226544866555,-0.5606394371941318,-1.4685055358326389,0.30303030303030304
1331,2019-05-15,2.42,2.43,2.3,2.16,2.12,2.15,2.25,2.37,2.9378188092721436,-0.5299630652694601,-1.5803375230440826,0.30303030303030304
1332,2019-05-16,2.4,2.43,2.33,2.2,2.15,2.18,2.28,2.4,2.945552909717314,-0.5336705836326591,-1.497275296764922,0.30303030303030304
1333,2019-05-17,2.39,2.42,2.33,2.2,2.15,2.17,2.27,2.39,2.922084161178029,-0.5146697607305529,-1.4745513582360863,0.30303030303030304
1334,2019-05-20,2.39,2.42,2.34,2.21,2.17,2.21,2.3,2.41,2.927689191301106,-0.5236246391857107,-1.3879951460601012,0.30303030303030304
1335,2019-05-21,2.39,2.42,2.36,2.26,2.2,2.23,2.33,2.43,2.9302045309989735,-0.5122375244150863,-1.3307443458394954,0.30303030303030304
1336,2019-05-22,2.38,2.41,2.37,2.23,2.17,2.19,2.28,2.39,2.8916711311037715,-0.47205322739043526,-1.4013237533309386,0.30303030303030304
1337,2019-05-23,2.37,2.4,2.32,2.12,2.08,2.11,2.2,2.31,2.8448011053803994,-0.45805575450321756,-1.5378687217937865,0.30303030303030304
1338,2019-05-24,2.35,2.39,2.33,2.16,2.1,2.12,2.22,2.32,2.825314003704464,-0.4404842332398137,-1.4465302980138675,0.30303030303030304
1339,2019-05-28,2.37,2.38,2.31,2.12,2.06,2.06,2.16,2.26,2.7788158228862723,-0.3881492133813059,-1.563739131739186,0.30303030303030304
1340,2019-05-29,2.37,2.38,2.3,2.09,2.04,2.05,2.16,2.25,2.7949319918934568,-0.41300472688466705,-1.6120877251100143,0.30303030303030304
1341,2019-05-30,2.38,2.4,2.29,2.06,2.0,2.03,2.12,2.22,2.7592401650568004,-0.3753708199670484,-1.6495815427315936,0.30303030303030304
